0.30,0.95,0.640
0.35,0.00,0.941
0.35,0.05,0.752
0.35,0.10,0.666
0.35,0.15,0.572
0.35,0.20,0.488
0.35,0.25,0.503
0.35,0.30,0.627
0.35,0.35,0.633
0.35,0.40,0.651
0.35,0.45,0.647
0.35,0.50,0.640
0.35,0.55,0.640
0.35,0.60,0.640
0.35,0.65,0.640
0.35,0.70,0.640
0.35,0.75,0.640
0.35,0.80,0.640
0.35,0.85,0.640
0.35,0.90,0.640
0.35,0.95,0.640
0.40,0.00,0.941
0.40,0.05,0.752
0.40,0.10,0.666
0.40,0.15,0.572
0.40,0.20,0.488
0.40,0.25,0.503
0.40,0.30,0.657
0.40,0.35,0.646
0.40,0.40,0.654
0.40,0.45,0.654
0.40,0.50,0.654
0.40,0.55,0.654
0.40,0.60,0.654
0.40,0.65,0.654
0.40,0.70,0.654
0.40,0.75,0.654
0.40,0.80,0.654
0.40,0.85,0.654
0.40,0.90,0.654
0.40,0.95,0.654
0.45,0.00,0.941
0.45,0.05,0.752
0.45,0.10,0.666
0.45,0.15,0.572
0.45,0.20,0.488
0.45,0.25,0.503
0.45,0.30,0.657
0.45,0.35,0.646
0.45,0.40,0.654
0.45,0.45,0.654
0.45,0.50,0.654
0.45,0.55,0.654
0.45,0.60,0.654
0.45,0.65,0.654
0.45,0.70,0.654
0.45,0.75,0.654
0.45,0.80,0.654
0.45,0.85,0.654
0.45,0.90,0.654
0.45,0.95,0.654
0.50,0.00,0.941
0.50,0.05,0.752
0.50,0.10,0.666
0.50,0.15,0.572
0.50,0.20,0.488
0.50,0.25,0.503
0.50,0.30,0.657
0.50,0.35,0.654
0.50,0.40,0.683
0.50,0.45,0.683
0.50,0.50,0.683
0.50,0.55,0.683
0.50,0.60,0.683
0.50,0.65,0.683
0.50,0.70,0.683
0.50,0.75,0.683
0.50,0.80,0.683
0.50,0.85,0.683
0.50,0.90,0.683
0.50,0.95,0.683
0.55,0.00,0.941
0.55,0.05,0.752
0.55,0.10,0.666
0.55,0.15,0.572
0.55,0.20,0.488
0.55,0.25,0.503
0.55,0.30,0.657
0.55,0.35,0.654
0.55,0.40,0.683
0.55,0.45,0.683
0.55,0.50,0.683
0.55,0.55,0.683
0.55,0.60,0.683
0.55,0.65,0.683
0.55,0.70,0.683
0.55,0.75,0.683
0.55,0.80,0.683
0.55,0.85,0.683
0.55,0.90,0.683
0.55,0.95,0.683
0.60,0.00,0.941
0.60,0.05,0.752
0.60,0.10,0.666
0.60,0.15,0.572
0.60,0.20,0.488
0.60,0.25,0.503
0.60,0.30,0.657
0.60,0.35,0.654
0.60,0.40,0.683
0.60,0.45,0.683
0.60,0.50,0.683
0.60,0.55,0.683
0.60,0.60,0.683
0.60,0.65,0.683
0.60,0.70,0.683
0.60,0.75,0.683
0.60,0.80,0.683
0.60,0.85,0.683
0.60,0.90,0.683
0.60,0.95,0.683
0.65,0.00,0.941
0.65,0.05,0.752
0.65,0.10,0.666
0.65,0.15,0.572
0.65,0.20,0.488
0.65,0.25,0.503
0.65,0.30,0.657
0.65,0.35,0.654
0.65,0.40,0.683
0.65,0.45,0.683
0.65,0.50,0.683
0.65,0.55,0.683
0.65,0.60,0.683
0.65,0.65,0.683
0.65,0.70,0.683
0.65,0.75,0.683
0.65,0.80,0.683
0.65,0.85,0.683
0.65,0.90,0.683
0.65,0.95,0.683
0.70,0.00,0.941
0.70,0.05,0.752
0.70,0.10,0.666
0.70,0.15,0.572
0.70,0.20,0.488
0.70,0.25,0.503
0.70,0.30,0.657
0.70,0.35,0.654
0.70,0.40,0.683
0.70,0.45,0.683
0.70,0.50,0.683
0.70,0.55,0.683
0.70,0.60,0.683
0.70,0.65,0.683
0.70,0.70,0.683
0.70,0.75,0.683
0.70,0.80,0.683
0.70,0.85,0.683
0.70,0.90,0.683
0.70,0.95,0.683
0.75,0.00,0.941
0.75,0.05,0.752
0.75,0.10,0.666
0.75,0.15,0.572
0.75,0.20,0.488
0.75,0.25,0.503
0.75,0.30,0.657
0.75,0.35,0.654
0.75,0.40,0.683
0.75,0.45,0.683
0.75,0.50,0.683
0.75,0.55,0.683
0.75,0.60,0.683
0.75,0.65,0.683
0.75,0.70,0.683
0.75,0.75,0.683
0.75,0.80,0.683
0.75,0.85,0.683
0.75,0.90,0.683
0.75,0.95,0.683
0.80,0.00,0.941
0.80,0.05,0.752
0.80,0.10,0.666
0.80,0.15,0.572
0.80,0.20,0.488
0.80,0.25,0.503
0.80,0.30,0.657
0.80,0.35,0.654
0.80,0.40,0.683
0.80,0.45,0.683
0.80,0.50,0.683
0.80,0.55,0.683
0.80,0.60,0.683
0.80,0.65,0.683
0.80,0.70,0.683
0.80,0.75,0.683
0.80,0.80,0.683
0.80,0.85,0.683
0.80,0.90,0.683
0.80,0.95,0.683
0.85,0.00,0.941
0.85,0.05,0.752
0.85,0.10,0.666
0.85,0.15,0.572
0.85,0.20,0.488
0.85,0.25,0.503
0.85,0.30,0.657
0.85,0.35,0.654
0.85,0.40,0.683
0.85,0.45,0.683
0.85,0.50,0.683
0.85,0.55,0.683
0.85,0.60,0.683
0.85,0.65,0.683
0.85,0.70,0.683
0.85,0.75,0.683
0.85,0.80,0.683
0.85,0.85,0.683
0.85,0.90,0.683
0.85,0.95,0.683
0.90,0.00,0.941
0.90,0.05,0.752
0.90,0.10,0.666
0.90,0.15,0.572
0.90,0.20,0.488
0.90,0.25,0.503
0.90,0.30,0.657
0.90,0.35,0.654
0.90,0.40,0.683
0.90,0.45,0.683
0.90,0.50,0.683
0.90,0.55,0.683
0.90,0.60,0.683
0.90,0.65,0.683
0.90,0.70,0.683
0.90,0.75,0.683
0.90,0.80,0.683
0.90,0.85,0.683
0.90,0.90,0.683
0.90,0.95,0.683
0.95,0.00,0.941
0.95,0.05,0.752
0.95,0.10,0.666
0.95,0.15,0.572
0.95,0.20,0.488
0.95,0.25,0.503
0.95,0.30,0.657
0.95,0.35,0.654
0.95,0.40,0.683
0.95,0.45,0.683
0.95,0.50,0.683
0.95,0.55,0.683
0.95,0.60,0.683
0.95,0.65,0.683
0.95,0.70,0.683
